;port;betweenness;edge_betweenness;in_degree;out_degree;sum_of_degrees;closeness
0;ESALG;0;8.833333;3;3;3;0.533333
1;BEANR;36.128571;2.333333;18;18;18;0.8
2;ESVLC;0;12.833333;4;4;4;0.545455
3;USLAX;0;2.033333;2;2;2;0.521739
4;PAMIT;4.152381;5.283333;8;8;8;0.6
5;JMKIN;0.25;4.233333;5;5;5;0.55814
6;USHOU;0;5.916667;3;3;3;0.533333
7;DOCAU;1.95;5.592857;8;8;8;0.6
8;MAPTM;0.25;5.083333;5;5;5;0.55814
9;PACTB;4.152381;6.333333;8;8;8;0.6
10;GBSOU;0;4;4;4;4;0.545455
11;COCTG;113.211905;5.5;23;23;23;0.96
12;BEZEE;1.2;5.42619;7;7;7;0.585366
13;COSMR;6.092857;5.666667;8;8;8;0.6
14;DEHAM;0;5.47619;3;3;3;0.533333
15;FRDKK;2.033333;4.266667;7;7;7;0.585366
16;FRLEH;0.2;6.333333;5;5;5;0.55814
17;COTRB;0.4;5.283333;5;5;5;0.55814
18;NLRTM;46.928571;6.533333;19;19;19;0.827586
19;GBLGP;0.9;4.283333;7;7;7;0.585366
20;NLVLI;0;9.011905;3;3;3;0.5
21;COBAQ;0;1.25;1;1;1;0.5
22;VEGUT;0;6.416667;2;2;2;0.510638
23;VELAG;2.15;10.416667;5;5;5;0.55814
24;VEPBL;0;10;3;3;3;0.521739
