img_name,labels
L15-0603E-1069N_00,agriculture clear primary road water
L15-0603E-1069N_01,agriculture clear cultivation haze primary road
L15-0603E-1069N_010,agriculture clear habitation haze primary water
L15-0603E-1069N_011,agriculture clear primary water
L15-0603E-1069N_012,agriculture clear haze primary water
L15-0603E-1069N_013,agriculture clear haze primary water
L15-0603E-1069N_014,agriculture clear habitation haze primary road
L15-0603E-1069N_015,agriculture clear haze primary water
L15-0603E-1069N_02,agriculture clear primary road
L15-0603E-1069N_03,agriculture clear cultivation habitation haze primary road water
L15-0603E-1069N_04,agriculture clear haze primary
L15-0603E-1069N_05,agriculture clear habitation primary
L15-0603E-1069N_06,agriculture clear haze primary road
L15-0603E-1069N_07,agriculture clear habitation haze primary water
L15-0603E-1069N_08,agriculture clear haze primary road water
L15-0603E-1069N_09,agriculture clear haze primary water
L15-0603E-1069N_10,agriculture clear cultivation habitation haze primary
L15-0603E-1069N_100,agriculture clear habitation primary road
L15-0603E-1069N_101,agriculture clear cultivation primary
L15-0603E-1069N_1010,agriculture clear haze primary water
L15-0603E-1069N_1011,agriculture clear primary
L15-0603E-1069N_1012,agriculture clear habitation primary road
L15-0603E-1069N_1013,agriculture clear haze primary road
L15-0603E-1069N_1014,agriculture clear haze primary water
L15-0603E-1069N_1015,agriculture clear habitation haze primary road water
L15-0603E-1069N_102,agriculture clear cultivation primary road
L15-0603E-1069N_103,agriculture clear habitation haze primary road water
L15-0603E-1069N_104,agriculture clear cultivation habitation haze primary road water
L15-0603E-1069N_105,agriculture clear habitation haze primary road water
L15-0603E-1069N_106,agriculture clear habitation haze primary road water
L15-0603E-1069N_107,agriculture clear cultivation habitation haze primary road water
L15-0603E-1069N_108,agriculture clear haze primary water
L15-0603E-1069N_109,agriculture clear haze primary water
L15-0603E-1069N_11,agriculture clear cultivation habitation haze primary road water
L15-0603E-1069N_110,agriculture clear cultivation habitation primary road
L15-0603E-1069N_111,agriculture clear habitation primary road
L15-0603E-1069N_1110,agriculture clear cultivation haze primary road water
L15-0603E-1069N_1111,agriculture clear habitation haze primary road
L15-0603E-1069N_1112,agriculture clear haze primary road
L15-0603E-1069N_1113,agriculture clear cultivation habitation haze primary
L15-0603E-1069N_1114,agriculture clear haze primary water
L15-0603E-1069N_1115,agriculture clear haze primary water
L15-0603E-1069N_112,agriculture clear habitation haze primary road
L15-0603E-1069N_113,agriculture clear habitation haze primary water
L15-0603E-1069N_114,agriculture clear habitation primary road water
L15-0603E-1069N_115,agriculture clear haze primary road
L15-0603E-1069N_116,agriculture clear cultivation habitation primary
L15-0603E-1069N_117,agriculture clear habitation primary road
L15-0603E-1069N_118,agriculture clear cultivation habitation primary road water
L15-0603E-1069N_119,agriculture clear haze primary water
L15-0603E-1069N_12,agriculture clear primary road
L15-0603E-1069N_120,agriculture clear primary road
L15-0603E-1069N_121,agriculture clear cultivation primary road
L15-0603E-1069N_1210,agriculture clear haze primary water
L15-0603E-1069N_1211,agriculture clear haze primary water
L15-0603E-1069N_1212,agriculture clear habitation haze primary road
L15-0603E-1069N_1213,agriculture clear cultivation habitation haze primary road
L15-0603E-1069N_1214,agriculture clear habitation haze primary road water
L15-0603E-1069N_1215,agriculture clear haze primary water
L15-0603E-1069N_122,agriculture clear habitation haze primary road water
L15-0603E-1069N_123,agriculture clear habitation haze primary road water
L15-0603E-1069N_124,agriculture clear habitation haze primary road water
L15-0603E-1069N_125,agriculture clear cultivation habitation haze primary road
L15-0603E-1069N_126,agriculture clear cultivation habitation primary road
L15-0603E-1069N_127,agriculture clear cultivation haze primary road
L15-0603E-1069N_128,agriculture clear habitation haze primary water
L15-0603E-1069N_129,agriculture clear haze primary water
L15-0603E-1069N_13,agriculture clear cultivation habitation haze primary road
L15-0603E-1069N_130,agriculture clear cultivation habitation primary road
L15-0603E-1069N_131,agriculture clear haze primary
L15-0603E-1069N_1310,agriculture clear haze primary water
L15-0603E-1069N_1311,agriculture clear cloudy haze primary water
L15-0603E-1069N_1312,agriculture clear cultivation habitation haze primary road water
L15-0603E-1069N_1313,agriculture clear habitation haze primary road
L15-0603E-1069N_1314,agriculture clear haze primary water
L15-0603E-1069N_1315,agriculture clear habitation haze primary water
L15-0603E-1069N_132,agriculture clear habitation haze primary road water
L15-0603E-1069N_133,agriculture clear haze primary road water
L15-0603E-1069N_134,agriculture clear haze primary road water
L15-0603E-1069N_135,agriculture clear habitation haze primary road water
L15-0603E-1069N_136,agriculture clear cultivation habitation primary road
L15-0603E-1069N_137,agriculture clear haze primary water
L15-0603E-1069N_138,agriculture clear habitation haze primary water
L15-0603E-1069N_139,agriculture clear haze primary water
L15-0603E-1069N_14,agriculture clear cultivation haze primary road
L15-0603E-1069N_140,agriculture clear primary road
L15-0603E-1069N_141,agriculture clear primary road water
L15-0603E-1069N_1410,agriculture clear haze primary water
L15-0603E-1069N_1411,agriculture clear haze primary water
L15-0603E-1069N_1412,agriculture clear haze primary road water
L15-0603E-1069N_1413,agriculture clear habitation haze primary road
L15-0603E-1069N_1414,agriculture clear haze primary road
L15-0603E-1069N_1415,agriculture clear haze primary water
L15-0603E-1069N_142,agriculture clear habitation haze primary road water
L15-0603E-1069N_143,agriculture clear habitation haze primary road water
L15-0603E-1069N_144,agriculture clear haze primary road water
L15-0603E-1069N_145,agriculture clear haze primary road water
L15-0603E-1069N_146,agriculture clear habitation haze primary road water
L15-0603E-1069N_147,agriculture clear primary road water
L15-0603E-1069N_148,agriculture clear haze primary water
L15-0603E-1069N_149,agriculture clear haze primary water
L15-0603E-1069N_15,agriculture clear habitation haze primary
L15-0603E-1069N_150,agriculture clear primary road water
L15-0603E-1069N_151,agriculture clear habitation primary road
L15-0603E-1069N_1510,agriculture clear haze primary water
L15-0603E-1069N_1511,agriculture clear haze primary water
